,db type,# run type,# payload,Average TPUT (kTPS/s),Average Latency (us),50 Tail Latency (us),99 Tail Latency (us),99.9 Tail Latency (us),99.99 Tail Latency (us)
0,kvsdb,R95I5,512,22.5844,44.2784,42.204,117.12,124.914,181.523
1,kvsdb,R50M50,1024,15.4445,64.7479,69.879,151.248,167.25,300.656
2,kvsdb,R50U50,1024,21.8646,45.7361,42.18,119.168,126.598,211.941
3,kvsdb,R90U10,512,22.5753,44.2962,42.209,116.743,123.778,181.083
4,kvsdb,R90U10,8,24.5908,40.6657,40.152,48.96,61.952,222.095
5,kvsdb,R95I5,8,24.4675,40.8705,40.578,50.198,82.134,187.238
6,kvsdb,R100,1024,23.5971,42.378,41.861,52.245,67.915,205.219
7,kvsdb,R50U50,8,24.8434,40.2522,39.701,49.312,95.088,201.495
8,kvsdb,R90U10,2048,18.7676,53.2832,48.633,112.514,136.152,369.09
9,kvsdb,R100,8,24.6092,40.6352,40.12,49.92,79.898,209.734
10,kvsdb,R50U50,2048,19.2052,52.0692,47.999,106.746,128.564,237.038
11,kvsdb,R50U50,64,24.9543,40.0732,39.464,50.668,70.647,215.188
12,kvsdb,R95I5,64,24.1354,41.4328,41.067,50.057,102.601,187.244
13,kvsdb,R90U10,1024,21.7462,45.9851,42.357,119.445,126.306,227.767
14,kvsdb,R95I5,1024,21.8323,45.8037,42.476,119.553,126.101,234.829
15,kvsdb,R50M50,64,16.5648,60.3691,54.013,90.84,130.704,288.053
16,kvsdb,R100,512,23.7941,42.0272,41.3,51.717,75.46,141.277
17,kvsdb,R50U50,512,22.7648,43.9275,40.609,116.65,124.1,217.251
18,kvsdb,R50M50,8,15.8931,62.9206,57.981,93.295,123.416,252.862
19,kvsdb,R100,64,24.029,41.6163,41.204,51.321,75.339,212.856
20,kvsdb,R90U10,64,24.3068,41.1408,40.544,50.31,62.275,191.575
21,kvsdb,R95I5,2048,18.9103,52.8813,47.809,115.984,132.564,234.782
22,kvsdb,R50M50,512,16.1023,62.1029,58.056,94.503,153.365,270.557
23,kvsdb,R100,2048,21.0843,47.4286,46.15,68.28,91.778,296.005
24,kvsdb,R50M50,2048,13.4769,74.2008,79.594,134.525,175.009,510.927
