,db type,# run type,# payload,Average TPUT (kTPS/s),Average Latency (us),50 Tail Latency (us),99 Tail Latency (us),99.9 Tail Latency (us),99.99 Tail Latency (us)
0,kvsdb,R95I5,512,17.0741,58.5682,56.996,74.747,138.345,291.133
1,kvsdb,R50M50,1024,11.3711,87.9423,101.394,136.088,199.703,653.669
2,kvsdb,R50U50,1024,16.7749,59.613,57.005,131.947,144.079,579.337
3,kvsdb,R90U10,512,16.5407,60.4568,58.372,132.415,141.982,573.377
4,kvsdb,R50M50,4096,9.12022,109.646,113.752,209.607,230.746,765.823
5,kvsdb,R90U10,8,17.599,56.8214,55.667,68.18,133.646,285.689
6,kvsdb,R50U50,4096,13.2146,75.674,71.956,140.856,159.022,680.5
7,kvsdb,R95I5,8,18.1255,55.1708,54.074,67.474,132.18,321.512
8,kvsdb,R100,1024,16.5307,60.4935,59.804,73.687,105.827,288.007
9,kvsdb,R50U50,8,17.5483,56.9856,56.16,66.921,101.697,272.515
10,kvsdb,R90U10,2048,14.5919,68.5311,64.227,135.211,146.122,632.59
11,kvsdb,R100,8,17.7322,56.3944,55.432,67.834,81.05,238.203
12,kvsdb,R50U50,2048,14.9154,67.045,63.695,108.517,146.162,585.237
13,kvsdb,R50U50,64,18.2672,54.7429,54.009,66.472,82.325,302.517
14,kvsdb,R95I5,64,17.8894,55.8989,54.831,68.067,119.229,563.118
15,kvsdb,R95I5,4096,12.6052,79.332,73.228,151.911,171.742,642.953
16,kvsdb,R90U10,1024,16.3437,61.1856,58.834,134.482,144.044,558.689
17,kvsdb,R95I5,1024,16.5798,60.3142,58.603,131.527,142.807,334.322
18,kvsdb,R50M50,64,12.1238,82.4827,77.011,126.611,162.371,549.305
19,kvsdb,R100,512,17.2977,57.8112,56.632,70.02,99.606,583.908
20,kvsdb,R90U10,4096,13.0549,76.5997,70.741,149.117,162.521,649.122
21,kvsdb,R50U50,512,16.5953,60.2581,57.015,133.566,141.023,569.275
22,kvsdb,R50M50,8,12.1855,82.0648,74.796,124.725,180.342,574.504
23,kvsdb,R100,64,17.8042,56.1666,54.982,69.724,121.34,279.121
24,kvsdb,R90U10,64,18.1254,55.1711,54.263,66.342,82.213,308.994
25,kvsdb,R95I5,2048,14.4152,69.3712,64.653,137.227,147.218,580.486
26,kvsdb,R50M50,512,11.8832,84.1524,76.955,128.008,192.597,588.553
27,kvsdb,R100,4096,14.0538,71.155,70.139,85.598,107.907,626.179
28,kvsdb,R100,2048,15.5365,64.3646,63.225,85.48,105.178,502.584
29,kvsdb,R50M50,2048,10.2137,97.9078,103.538,172.519,214.483,877.701
