,db type,# run type,# payload,Average TPUT (kTPS/s),Average Latency (us),50 Tail Latency (us),99 Tail Latency (us),99.9 Tail Latency (us),99.99 Tail Latency (us)
0,kvsdb,R95I5,512,68.496460,14.599295,6.193000,168.825000,169.739000,195.488000
1,kvsdb,R50M50,1024,42.126040,23.738286,12.567000,194.298000,200.803000,206.496000
2,kvsdb,R50U50,1024,61.734671,16.198353,6.679000,168.637000,171.069000,179.867000
3,kvsdb,R90U10,512,68.567625,14.584142,6.173000,168.817000,169.751000,194.422000
4,kvsdb,R50M50,4096,32.810864,30.477710,16.297000,199.287000,205.550000,221.928000
5,kvsdb,R90U10,8,70.464234,14.191597,5.978000,168.799000,170.993000,195.875000
6,kvsdb,R50U50,4096,46.675552,21.424492,9.440000,169.854000,173.005000,199.379000
7,kvsdb,R95I5,8,71.102602,14.064183,5.934000,168.665000,169.468000,193.031000
8,kvsdb,R100,1024,66.283096,15.086803,6.446000,168.881000,169.996000,193.457000
9,kvsdb,R50U50,8,70.978101,14.088853,5.823000,168.684000,169.913000,176.040000
10,kvsdb,R90U10,2048,61.306347,16.311525,6.863000,168.913000,170.679000,174.010000
11,kvsdb,R100,8,71.308191,14.023634,5.947000,168.741000,169.543000,192.141000
12,kvsdb,R50U50,2048,56.311920,17.758229,7.392000,169.097000,171.340000,195.357000
13,kvsdb,R50U50,64,71.783105,13.930855,5.720000,168.457000,170.187000,176.477000
14,kvsdb,R95I5,64,71.132015,14.058367,5.936000,168.589000,169.385000,193.917000
15,kvsdb,R95I5,4096,53.255059,18.777559,8.105000,169.224000,171.684000,194.096000
16,kvsdb,R90U10,1024,65.528173,15.260612,6.468000,168.848000,170.198000,189.742000
17,kvsdb,R95I5,1024,64.991856,15.386543,6.537000,168.814000,170.061000,195.056000
18,kvsdb,R50M50,64,48.117813,20.782325,10.708000,174.428000,198.918000,201.840000
19,kvsdb,R100,512,68.521064,14.594052,6.222000,168.810000,169.848000,195.198000
20,kvsdb,R90U10,4096,52.177741,19.165261,8.244000,169.218000,172.116000,196.924000
21,kvsdb,R50U50,512,67.565044,14.800553,6.033000,168.552000,170.429000,180.146000
22,kvsdb,R50M50,8,48.378901,20.670168,10.759000,175.099000,199.169000,202.627000
23,kvsdb,R100,64,71.843606,13.919123,5.912000,168.700000,169.733000,193.238000
24,kvsdb,R90U10,64,72.681826,13.758598,5.797000,168.734000,169.573000,194.829000
25,kvsdb,R95I5,2048,62.857202,15.909076,6.721000,168.754000,170.475000,173.513000
26,kvsdb,R50M50,512,45.567768,21.945337,11.181000,192.906000,199.616000,207.357000
27,kvsdb,R100,4096,53.580625,18.663463,8.147000,169.186000,171.794000,196.271000
28,kvsdb,R100,2048,63.297977,15.798293,6.723000,168.855000,171.080000,196.393000
29,kvsdb,R50M50,2048,39.440373,25.354730,13.459000,195.536000,202.156000,208.880000
