,db type,# run type,# payload,Average TPUT (kTPS/s),Average Latency (us),50 Tail Latency (us),99 Tail Latency (us),99.9 Tail Latency (us),99.99 Tail Latency (us)
0,kvsdb,R95I5,512,16.420032,60.901223,59.418000,132.316000,142.084000,279.201000
1,kvsdb,R50M50,1024,11.043230,90.553217,105.597000,190.238000,203.418000,597.214000
2,kvsdb,R50U50,1024,15.737302,63.543295,61.813000,133.045000,142.129000,330.283000
3,kvsdb,R90U10,512,16.291526,61.381604,58.902000,134.587000,141.970000,275.370000
4,kvsdb,R50M50,4096,9.074348,110.200759,118.083000,209.675000,285.067000,703.602000
5,kvsdb,R90U10,8,16.984896,58.875840,58.227000,68.416000,76.955000,309.729000
6,kvsdb,R50U50,4096,13.504338,74.050281,70.841000,139.666000,176.896000,334.494000
7,kvsdb,R95I5,8,16.981802,58.886566,58.259000,68.436000,74.434000,223.819000
8,kvsdb,R100,1024,16.784849,59.577541,58.997000,68.673000,82.071000,271.692000
9,kvsdb,R50U50,8,17.110253,58.444489,57.747000,69.441000,88.373000,320.810000
10,kvsdb,R90U10,2048,14.846653,67.355249,61.179000,137.303000,173.207000,310.699000
11,kvsdb,R100,8,17.299138,57.806348,57.279000,69.995000,77.859000,223.232000
12,kvsdb,R50U50,2048,14.661820,68.204355,64.870000,107.170000,146.411000,321.295000
13,kvsdb,R50U50,64,16.912401,59.128209,58.419000,68.772000,86.815000,400.528000
14,kvsdb,R95I5,64,17.036216,58.698481,58.082000,68.181000,76.820000,216.533000
15,kvsdb,R95I5,4096,12.835180,77.910864,69.310000,146.875000,163.265000,608.426000
16,kvsdb,R90U10,1024,16.063015,62.254813,60.341000,134.613000,142.930000,228.227000
17,kvsdb,R95I5,1024,16.176589,61.817729,59.674000,134.626000,142.546000,318.192000
18,kvsdb,R50M50,64,11.529978,86.730434,76.169000,130.927000,145.618000,570.580000
19,kvsdb,R100,512,16.695123,59.897730,59.133000,69.286000,134.859000,243.572000
20,kvsdb,R90U10,4096,13.020344,76.802887,70.304000,144.720000,173.703000,478.383000
21,kvsdb,R50U50,512,16.314625,61.294697,58.791000,134.816000,142.830000,268.582000
22,kvsdb,R50M50,8,11.541432,86.644361,70.455000,127.745000,137.016000,540.843000
23,kvsdb,R100,64,17.081010,58.544549,57.858000,69.228000,74.352000,227.629000
24,kvsdb,R90U10,64,16.990080,58.857875,58.098000,68.167000,76.259000,287.912000
25,kvsdb,R95I5,2048,15.469129,64.644880,59.719000,127.966000,142.813000,471.378000
26,kvsdb,R50M50,512,11.259529,88.813662,102.952000,188.150000,202.511000,507.068000
27,kvsdb,R100,4096,15.231150,65.654926,64.840000,75.677000,111.407000,308.928000
28,kvsdb,R100,2048,16.376797,61.062001,60.039000,78.931000,98.000000,272.706000
29,kvsdb,R50M50,2048,10.255329,97.510283,101.170000,171.008000,204.904000,666.652000
