,db type,# run type,# payload,Average TPUT (kTPS/s),Average Latency (us),50 Tail Latency (us),99 Tail Latency (us),99.9 Tail Latency (us),99.99 Tail Latency (us)
0,redis,R95I5,8,16.385257,61.030475,60.001000,75.484000,106.295000,176.466000
1,redis,R90U10,2048,12.691600,78.792271,69.161000,156.285000,196.691000,214.883000
2,redis,R50U50,2048,9.784302,102.204530,112.261000,196.477000,216.036000,263.505000
3,redis,R100,1024,16.360806,61.121682,60.055000,72.469000,117.935000,170.680000
4,redis,R90U10,4096,11.400389,87.716303,72.794000,210.401000,251.808000,270.442000
5,redis,R50U50,8,16.410104,60.938067,60.383000,71.277000,92.681000,171.297000
6,redis,R50M50,4096,5.795575,172.545433,152.401000,311.836000,341.921000,372.865000
7,redis,R100,8,16.816580,59.465123,58.265000,71.812000,133.774000,161.936000
8,redis,R95I5,512,16.213275,61.677852,59.381000,126.844000,141.457000,172.035000
9,redis,R90U10,8,16.020380,62.420493,61.579000,73.809000,102.941000,167.564000
10,redis,R90U10,64,16.667104,59.998425,58.936000,71.805000,100.897000,164.676000
11,redis,R95I5,1024,15.468582,64.647167,61.021000,134.536000,148.179000,182.700000
12,redis,R90U10,1024,15.431491,64.802551,60.689000,105.467000,142.637000,182.631000
13,redis,R50U50,512,14.354191,69.666063,72.317000,95.881000,141.178000,200.893000
14,redis,R95I5,4096,11.921723,83.880491,72.230000,213.444000,257.922000,277.819000
15,redis,R90U10,512,15.654922,63.877673,60.052000,135.511000,144.976000,173.128000
16,redis,R50U50,64,16.188548,61.772062,61.442000,77.546000,157.457000,179.449000
17,redis,R50M50,8,11.131973,89.831336,74.434000,133.561000,174.894000,242.685000
18,redis,R50M50,2048,7.222732,138.451766,145.194000,271.054000,345.233000,382.471000
19,redis,R100,4096,12.775510,78.274762,75.232000,103.771000,118.042000,186.697000
20,redis,R50M50,1024,9.372254,106.697923,136.904000,164.710000,228.072000,274.972000
21,redis,R95I5,2048,13.421868,74.505280,67.635000,146.071000,198.445000,212.000000
22,redis,R100,64,16.804619,59.507448,58.626000,70.602000,107.050000,177.771000
23,redis,R50M50,512,10.203814,98.002574,119.356000,148.986000,211.397000,256.188000
24,redis,R100,512,16.011371,62.455614,61.338000,76.795000,100.314000,166.299000
25,redis,R100,2048,14.576313,68.604452,67.595000,87.410000,161.660000,188.124000
26,redis,R50U50,1024,12.994209,76.957356,84.263000,134.333000,163.819000,203.091000
27,redis,R95I5,64,16.799426,59.525845,58.468000,71.452000,104.807000,162.327000
28,redis,R50M50,64,10.833035,92.310232,74.969000,136.073000,174.200000,249.846000
29,redis,R50U50,4096,7.810484,128.033044,146.014000,244.939000,257.178000,295.328000
